ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
765,Dichapetalum pulchrum,10.4,0.716667
767,Anthonotha stipulacea,10.39916,0.61722
768,Letestua durissima,10.39916,0.61722
770,Warneckea bebaiensis,10.27805,0.46666
773,Whitfieldia brazzaei,14.0672223,-1.7911111
777,Trichoscypha engong,9.8266667,-1.9333333
794,Warneckea bebaiensis,12.65,-4.583333333
796,Librevillea klainei,10.23333,-1.13333
797,Dacryodes normandii,10.23333,-1.13333
798,Oncoba ngounyensis,10.23333,-1.13333
800,Cola mayimbensis,12.7833,-1
802,Testulea gabonensis,11,-2.83333
803,Trichostephanus gabonensis,10.4167,-2.03333
804,Oncoba breteleri,10.46777,-1.46888
805,Begonia wilksii,11.5,-1.98333
806,Begonia erectotricha,10.2833,0.45
810,Whitfieldia brazzaei,14.0672223,-2.1344444
811,Microberlinia brazzavillensis,14.06722,-2.13444
812,Combretum robustum,10.4667,-2.08333
813,Combretum rabiense,9.83333,-1.91666
814,Combretum oudenhovenii,9.83333,-1.91666
815,Combretum ivanii,9.86667,-1.9
816,Combretum inflatum,13.9,-1.63333
817,Combretum esteriense,9.3333,0.6
818,Combretum echirense,9.91666,-1.91666
819,Combretum adrianii,11.38333,0.7
826,Xanthocercis rabiensis,9.8833333,-1.8833333
827,Crudia zenkeri,10.4167,3.08333
829,Tricalysia obstetrix,12.71666,3.36666
835,Dacryodes igaganga,14.07555,-2.11805
838,Microberlinia brazzavillensis,14.06472,-2.07805
840,Dichapetalum bodyi,14.07194,-2.11166
841,Ardisia bampsiana,14.06305,-2.12222
850,Bonamia nzabii,11.33333,-1.75
851,Bonamia gabonensis,13,-2.05
853,Neuropeltis aenea,12.4833,-4.75
855,Pseudocalyx aurantiacus,12.5833,-0.966667
857,Tricalysia obstetrix,10.4,0.716667
862,Empogona breteleri,13.2833333,-1.65
866,Pavetta robusta,11.6667,-1.58333
867,Trichoscypha debruijnii,12.9166667,-0.8333333
868,Temnopteryx sericea,9.86666,1.18333
869,Temnopteryx sericea,9.88333,1.21666
870,Temnopteryx sericea,9.95,1.23333
871,Pauridiantha longistipula,9.95,1.2333333
873,Ixora synactica,10.41666,3.16666
874,Globulostylis robbrechtiana,10.51666,2.73333
875,Sherbournia ailarama,9.86666,1.18333
876,Dacryodes letestui,10.41361,0.61722
877,Neostenanthera robsonii,10.41361,0.61722
892,Tulestea tomentosa,12.0833,-1.58333
893,Sericanthe petitii,11.7833,-1.23333
894,Sherbournia myosura,12.6833,-0.816667
895,Synsepalum nyangense,11.66666,-0.25
896,Memecylon klaineanum,10.29888,0.48055
897,Loesenera gabonensis,11.3333,-1.66667
898,Gilbertiodendron unijugum,11.5833,1.58333
899,Gilbertiodendron pachyanthum,10.41667,3.08333
